Variables,R-squared,Adj. R-squared,P-value,AIC,BIC,Coefficients
"PI, TTLCONS, PCESV, RSAFS, PPIACO, DJIA",0.772643320016117,0.7695217180026084,3.9955097076735834e-137,4392.789396409462,4421.460168346487,"const: -29.0028, PI: -0.0036, TTLCONS: 0.0001, PCESV: 0.0065, RSAFS: -0.0004, PPIACO: 0.9122, DJIA: 0.0020"
"PI, TTLCONS, PCESV, RSAFS, NASDAQCOM, REVOLSL",0.7551493268896626,0.751787532750848,4.131391950414666e-130,4425.702435064014,4454.373207001039,"const: 17.7462, PI: 0.0068, TTLCONS: 0.0001, PCESV: 0.0020, RSAFS: -0.0003, NASDAQCOM: 0.0052, REVOLSL: 0.0449"
"PI, TTLCONS, PCESV, RSAFS, NASDAQCOM, SP500",0.7551057274006909,0.7517433346418904,4.294793526193444e-130,4425.781489164823,4454.452261101848,"const: 26.0454, PI: 0.0054, TTLCONS: 0.0001, PCESV: 0.0063, RSAFS: -0.0003, NASDAQCOM: 0.0015, SP500: 0.0072"
"PI, TTLCONS, PCESV, RSAFS, NASDAQCOM, DJIA",0.7541948543918062,0.7508199553674375,9.642660791590722e-130,4427.429863161038,4456.100635098063,"const: 25.2456, PI: 0.0058, TTLCONS: 0.0001, PCESV: 0.0058, RSAFS: -0.0003, NASDAQCOM: 0.0021, DJIA: 0.0007"
"PI, TTLCONS, PCESV, RSAFS, REVOLSL, SP500",0.7613883896705886,0.7581122577209858,1.4923618919439603e-132,4414.242191884248,4442.9129638212735,"const: 25.1008, PI: 0.0035, TTLCONS: 0.0001, PCESV: 0.0036, RSAFS: -0.0003, REVOLSL: 0.0779, SP500: 0.0168"
"PI, TTLCONS, PCESV, RSAFS, REVOLSL, DJIA",0.7578593837863388,0.7545347986667004,3.6562405645270416e-131,4420.760754546616,4449.431526483641,"const: 23.4823, PI: 0.0043, TTLCONS: 0.0001, PCESV: 0.0036, RSAFS: -0.0003, REVOLSL: 0.0646, DJIA: 0.0017"
"PI, TTLCONS, PCESV, RSAFS, SP500, DJIA",0.7590661041641926,0.7557580872877284,1.231176063243014e-131,4418.542525479096,4447.213297416121,"const: 23.5486, PI: 0.0053, TTLCONS: 0.0001, PCESV: 0.0086, RSAFS: -0.0003, SP500: 0.0645, DJIA: -0.0067"
"PI, TTLCONS, PCESV, PPIACO, NASDAQCOM, REVOLSL",0.7428735343375132,0.7393431938478681,1.7542198726463425e-125,4447.42270235893,4476.093474295955,"const: 1.6009, PI: -0.0017, TTLCONS: 0.0000, PCESV: -0.0004, PPIACO: 0.4240, NASDAQCOM: 0.0077, REVOLSL: 0.0438"
"PI, TTLCONS, PCESV, PPIACO, NASDAQCOM, SP500",0.7511927090082791,0.7477765905964935,1.3574206071973798e-128,4432.819816268513,4461.490588205538,"const: -0.1992, PI: -0.0068, TTLCONS: 0.0001, PCESV: 0.0050, PPIACO: 0.6701, NASDAQCOM: 0.0022, SP500: 0.0150"
"PI, TTLCONS, PCESV, PPIACO, NASDAQCOM, DJIA",0.7508802571273687,0.7474598487584081,1.7842160933367843e-128,4433.377041098249,4462.047813035274,"const: -1.8852, PI: -0.0071, TTLCONS: 0.0001, PCESV: 0.0044, PPIACO: 0.7054, NASDAQCOM: 0.0028, DJIA: 0.0017"
"PI, TTLCONS, PCESV, PPIACO, REVOLSL, SP500",0.7613684277306215,0.7580920217040397,1.5198118870919557e-132,4414.2793347986935,4442.950106735719,"const: -6.3278, PI: -0.0100, TTLCONS: 0.0000, PCESV: 0.0017, PPIACO: 0.7443, REVOLSL: 0.1014, SP500: 0.0285"
"PI, TTLCONS, PCESV, PPIACO, REVOLSL, DJIA",0.7578728572258533,0.7545484570962311,3.612183552915165e-131,4420.7360483503635,4449.406820287389,"const: -8.8219, PI: -0.0098, TTLCONS: 0.0000, PCESV: 0.0013, PPIACO: 0.7807, REVOLSL: 0.0893, DJIA: 0.0033"
