Variables,R-squared,Adj. R-squared,P-value,AIC,BIC
"RSAFS, PPIACO, REVOLSL",0.6761665955565974,0.6739586405263015,2.5743302184965312e-107,4543.836253663363,4560.219551913092
"RSAFS, PPIACO, SP500",0.7136351109212548,0.7116826230411724,4.7193965487721244e-119,4489.240963085924,4505.624261335653
"RSAFS, NASDAQCOM, REVOLSL",0.7296897031568605,0.7278466784056573,1.4659119182038426e-124,4463.62381170839,4480.007109958119
"RSAFS, NASDAQCOM, SP500",0.7042159449784087,0.7021992355123523,5.795854540656679e-116,4503.610051018536,4519.993349268265
"RSAFS, REVOLSL, SP500",0.7471149400648718,0.7453907237471322,6.375723115156618e-131,4434.037663141706,4450.4209613914345
"PPIACO, NASDAQCOM, REVOLSL",0.7375361778560499,0.7357466517959774,2.2590468372204917e-127,4450.544772925293,4466.928071175022
"PPIACO, NASDAQCOM, SP500",0.7173378130047581,0.7154105708206996,2.7011663969164573e-120,4483.4625985819475,4499.845896831676
"PPIACO, REVOLSL, SP500",0.7490498873078855,0.7473388638122573,1.1781935675752439e-131,4430.627338312073,4447.010636561802
"NASDAQCOM, REVOLSL, SP500",0.7481176170889732,0.7464002372054889,2.662167971255496e-131,4432.273725349918,4448.657023599647
"HPIPONM226S, PI, TTLCONS, CPIAUCSL",0.7597160005782289,0.7575266247292833,1.9669230692954483e-134,4413.343259258498,4433.822382070659
"HPIPONM226S, PI, TTLCONS, PCESV",0.7472174266044347,0.7449141685324934,1.3198257227115603e-129,4435.857687121135,4456.3368099332965
